image_id,original,ooi,objects_disappeared,objects_other,n_distinct_objects,masked_area,total_area,height,width,p_masked,entropy,BG,person,bicycle,car,motorcycle,airplane,bus,train,truck,boat,traffic light,fire hydrant,stop sign,parking meter,bench,bird,cat,dog,horse,sheep,cow,elephant,bear,zebra,giraffe,backpack,umbrella,handbag,tie,suitcase,frisbee,skis,snowboard,sports ball,kite,baseball bat,baseball glove,skateboard,surfboard,tennis racket,bottle,wine glass,cup,fork,knife,spoon,bowl,banana,apple,sandwich,orange,broccoli,carrot,hot dog,pizza,donut,cake,chair,couch,potted plant,bed,dining table,toilet,tv,laptop,mouse,remote,keyboard,cell phone,microwave,oven,toaster,sink,refrigerator,book,clock,vase,scissors,teddy bear,hair drier,toothbrush
23,https://s3.amazonaws.com/deepangelai/results/surfboard/d6d4d041-2411-4b6c-940a-ff6f4cd66732/original.jpg,surfboard,0,0,0,0,195392,344,568,0,2.293126166,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
24,https://s3.amazonaws.com/deepangelai/results/person/d8588914-f528-4eaf-a919-386bf90937fe/original.jpg,person,8,1,2,52793,48384,216,224,1.091125165,6.311148031,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
25,https://s3.amazonaws.com/deepangelai/results/person/3fa28e92-861e-42e0-b39a-4101c112e739/original.jpg,person,2,0,1,93398,87616,296,296,1.065992513,5.412020496,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
26,https://s3.amazonaws.com/deepangelai/results/person/709eae4d-0992-4c0e-a326-7522e629669a/original.jpg,person,1,0,1,42372,1486848,1056,1408,0.028497869,5.794930737,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
27,https://s3.amazonaws.com/deepangelai/results/cell%20phone/683e7cae-6e62-4de3-8cb1-8ca6887aa411/original.jpg,cell%20phone,0,5,5,0,162688,328,496,0,4.712836832,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
28,https://s3.amazonaws.com/deepangelai/results/bicycle/45255f29-fc5e-40f5-bd85-7b5d0811e7f4/original.jpg,bicycle,3,4,4,57424,211904,344,616,0.270990637,7.253018558,0,1,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
29,https://s3.amazonaws.com/deepangelai/results/keyboard/4fecc9f4-4706-47c0-8be9-32ff93a0a30b/original.jpg,keyboard,1,2,3,61235,921600,1280,720,0.066444227,4.583099396,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
30,https://s3.amazonaws.com/deepangelai/results/elephant/2115cd14-2df9-4a53-bbd3-7d93466a7c72/original.jpg,elephant,0,14,3,0,1488000,1000,1488,0,6.984677626,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
31,https://s3.amazonaws.com/deepangelai/results/car/06c5a4cd-7918-45b3-8284-13addef52dbf/original.jpg,car,0,8,5,0,1496000,1000,1496,0,4.914644755,0,4,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
32,https://s3.amazonaws.com/deepangelai/results/person/2a79cf04-09a9-43f6-9dc5-b2835f1e7a7d/original.jpg,person,15,5,5,128294,1488384,912,1632,0.086196842,5.786318539,0,15,0,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
